p_no	u_no	c_no	option1	option2	option3	option4	p_price	p_date
558	41	12	1	3	1	1	26500000	2023-12-19
559	40	63	2	3	2	1	54800000	2023-12-20
560	25	46	4	2	2	1	106350000	2023-12-21
561	19	42	1	3	1	1	84500000	2023-12-22
562	17	38	4	3	2	1	49650000	2023-12-23
563	48	55	2	3	2	1	83800000	2023-12-24
564	16	62	3	3	1	2	52200000	2023-12-25
565	24	41	3	3	2	1	74700000	2023-12-26
566	22	6	1	3	2	1	54000000	2023-12-27
567	34	62	3	1	2	1	50200000	2023-12-28
568	27	39	4	2	2	2	52350000	2023-12-29
569	41	4	2	3	2	2	87800000	2023-12-30
570	25	48	1	1	2	1	52500000	2023-12-31
571	17	54	1	3	2	1	87000000	2024-01-01
572	2	59	4	2	2	2	37350000	2024-01-02
573	26	36	3	3	1	2	30200000	2024-01-03
574	39	2	3	2	2	2	77400000	2024-01-04
575	46	19	3	3	1	2	40200000	2024-01-05
576	2	8	1	3	1	2	79500000	2024-01-06
577	6	24	1	3	1	1	81500000	2024-01-07
578	37	19	3	1	1	1	35700000	2024-01-08
579	10	63	4	2	2	2	57350000	2024-01-09
580	33	1	1	2	2	2	56700000	2024-01-10
581	23	15	3	1	2	1	28200000	2024-01-11
582	13	28	4	2	2	1	64350000	2024-01-12
583	5	44	4	2	2	2	117350000	2024-01-13
584	44	41	4	1	2	2	76150000	2024-01-14
585	14	13	4	1	1	2	33650000	2024-01-15
586	6	61	4	1	2	2	30150000	2024-01-16
587	36	67	1	3	1	2	29500000	2024-01-17
588	37	16	3	3	2	1	34700000	2024-01-18
589	10	44	2	1	2	2	116300000	2024-01-19
590	32	55	3	1	2	2	85200000	2024-01-20
591	33	26	1	3	2	2	57000000	2024-01-21
592	10	60	3	3	1	2	45200000	2024-01-22
593	46	19	4	2	2	2	42350000	2024-01-23
594	49	52	3	2	2	1	61400000	2024-01-24
595	24	52	2	2	1	2	62000000	2024-01-25
596	3	37	2	1	2	2	46300000	2024-01-26
597	4	47	3	2	2	2	198400000	2024-01-27
598	3	4	2	2	2	2	87500000	2024-01-28
599	49	65	3	2	2	2	47400000	2024-01-29
600	26	19	2	1	2	1	38300000	2024-01-30
