R_No	B_No(Boardingpass)	U_No	S_No	Div	Seat
1065	1032	45	185	1	B28
1066	1033	77	185	1	E42
1067	1034	2	186	1	F09
1068	1035	19	186	1	E47
1069	1036	30	186	1	F09
1070	1037	56	186	1	F02
1071	1038	14	187	1	E52
1072	1039	20	187	1	E39
1073	1040	30	187	1	B25
1074	1041	32	187	1	F08
1075	1042	49	187	1	F11
1076	1043	53	187	1	F09
1077	1044	1	188	1	F07
1078	1045	2	188	1	B13
1079	1046	14	188	1	B23
1080	1047	34	188	1	F06
1081	1048	55	188	1	E18
1082	1049	60	188	1	F07
1083	1050	66	188	1	E54
1084	1051	94	188	1	E56
1085	1052	7	189	1	E25
1086	1053	29	189	1	E15
1087	1054	56	189	1	B12
1088	1055	62	189	1	F01
1089	1056	78	189	1	B08
1090	1057	23	190	1	B16
1091	1057	23	190	2	B17
1092	1058	81	190	1	B23
1093	1059	16	191	1	E34
1094	1060	46	191	1	B11
1095	1061	50	191	1	F06
1096	1062	79	191	1	F04
1097	1063	87	191	1	E09
1098	1064	11	192	1	B30
1099	1065	43	192	1	B29
1100	1066	50	192	1	E30
1101	1067	78	192	1	F12
1102	1068	56	193	1	B03
1103	1069	94	193	1	F12
1104	1070	65	194	1	F03
1105	1071	9	195	1	E01
1106	1072	18	195	1	E03
1107	1073	47	195	1	E51
1108	1074	66	195	1	F02
1109	1075	29	196	1	B13
1110	1076	42	196	1	E02
1111	1077	45	196	1	F12
1112	1078	52	196	1	B10
1113	1079	70	196	1	E52
1114	1080	12	197	1	B23
1115	1081	18	197	1	B06
1116	1082	43	197	1	E03
1117	1083	68	197	1	B28
1118	1084	77	197	1	B21
1119	1085	2	198	1	B18
1120	1086	12	198	1	B20
1121	1087	13	198	1	B29
1122	1088	21	198	1	F01
1123	1089	31	198	1	B09
1124	1090	33	198	1	E14
1125	1090	33	198	2	E15
1126	1091	58	198	1	F12
1127	1092	63	198	1	B18
1128	1093	75	198	1	E29
1129	1094	4	199	1	B16
1130	1095	21	199	1	B25
1131	1095	21	199	3	B26
1132	1096	58	199	1	F02
1133	1097	69	199	1	F01
1134	1098	11	200	1	B20
1135	1099	26	200	1	F04
1136	1100	46	200	1	E02
1137	1101	63	200	1	E52
1138	1102	35	201	1	E12
1139	1103	63	201	1	B17
1140	1104	74	201	1	F10
1141	1105	86	201	1	B06
1142	1106	6	202	1	E46
1143	1107	32	202	1	F08
1144	1108	34	202	1	E15
1145	1109	88	202	1	E12
1146	1110	13	203	1	E09
1147	1111	43	203	1	B22
1148	1112	47	203	1	B17
1149	1113	69	203	1	F08
1150	1114	75	203	1	E47
1151	1115	32	204	1	E35
1152	1116	47	204	1	B07
1153	1117	50	204	1	F08
1154	1118	79	204	1	F01
1155	1119	22	205	1	E10
1156	1120	48	205	1	B25
1157	1121	85	205	1	E55
1158	1122	92	205	1	F08
1159	1123	30	207	1	F11
1160	1124	46	207	1	F08
1161	1125	66	207	1	B22
1162	1126	69	207	1	F11
1163	1126	69	207	2	F12
1164	1127	76	207	1	E40
1165	1128	80	207	1	F12
1166	1129	91	207	1	B04
1167	1130	94	207	1	F09
1168	1131	17	208	1	F02
1169	1132	20	208	1	E44
1170	1133	25	208	1	E43
1171	1134	74	208	1	F12
1172	1135	5	209	1	E47
1173	1136	13	209	1	B25
1174	1137	18	209	1	B20
1175	1138	95	209	1	F05
1176	1139	26	210	1	F04
1177	1140	28	210	1	E48
1178	1141	37	210	1	E26
1179	1142	10	211	1	F03
1180	1143	34	211	1	E30
1181	1144	59	211	1	F09
1182	1145	64	211	1	E38
1183	1146	74	211	1	B20
1184	1147	82	211	1	E52
1185	1148	86	211	1	F11
1186	1149	3	212	1	F03
1187	1150	37	212	1	F08
1188	1151	66	212	1	F02
1189	1151	66	212	3	F03
1190	1152	82	212	1	F06
1191	1153	84	212	1	E43
1192	1154	85	212	1	B21
1193	1155	9	213	1	F11
1194	1156	13	213	1	B01
1195	1157	25	213	1	B30
1196	1158	33	213	1	B07
1197	1159	52	213	1	F02
1198	1160	75	213	1	F06
1199	1161	82	213	1	E52
1200	1162	94	213	1	E19
1201	1163	18	214	1	E46
1202	1164	26	214	1	E30
1203	1165	41	214	1	E32
1204	1166	45	214	1	F07
1205	1167	48	214	1	B15
1206	1168	50	214	1	F09
1207	1169	75	214	1	B04
1208	1170	2	215	1	B21
1209	1171	4	215	1	F12
1210	1172	32	215	1	F08
1211	1173	63	215	1	F07
1212	1174	68	215	1	B26
1213	1175	76	215	1	F02
1214	1176	86	215	1	E34
1215	1177	1	216	1	B05
1216	1178	12	216	1	B19
1217	1179	16	216	1	E56
1218	1180	45	216	1	B25
1219	1181	57	216	1	E45
1220	1182	95	216	1	B10
1221	1183	14	217	1	E32
1222	1184	23	217	1	E35
1223	1185	28	217	1	F01
1224	1186	34	217	1	B28
1225	1187	39	217	1	B04
1226	1188	49	217	1	B01
1227	1189	58	217	1	E07
1228	1190	59	217	1	B12
1229	1191	92	217	1	B22
1230	1192	95	217	1	E08
1231	1193	4	218	1	E56
1232	1194	6	218	1	B16
1233	1195	30	218	1	E40
1234	1196	37	218	1	B18
1235	1197	47	218	1	B13
1236	1198	60	218	1	B18
1237	1199	75	218	1	E51
1238	1200	13	219	1	F04
1239	1201	40	219	1	E03
1240	1202	63	219	1	E01
1241	1203	73	219	1	B22
1242	1204	85	219	1	F09
1243	1205	46	220	1	B17
1244	1206	49	220	1	E29
1245	1207	46	221	1	F08
1246	1208	61	221	1	E52
1247	1209	62	221	1	B28
1248	1210	69	221	1	F02
1249	1211	71	221	1	B17
1250	1212	3	222	1	E24
1251	1213	22	222	1	F02
1252	1214	56	222	1	F11
1253	1215	92	222	1	E10
1254	1216	2	223	1	B29
1255	1217	46	223	1	E27
1256	1217	46	223	2	E28
1257	1218	68	223	1	E34
1258	1219	76	223	1	E13
1259	1220	85	223	1	F10
1260	1221	2	224	1	E46
1261	1222	9	224	1	E22
1262	1223	16	224	1	E55
1263	1224	21	224	1	E52
1264	1225	28	224	1	E06
1265	1226	44	224	1	B11
1266	1227	88	224	1	F05
1267	1228	92	224	1	E11
1268	1229	3	225	1	B05
1269	1230	12	225	1	B24
1270	1231	15	225	1	F01
1271	1232	16	225	1	B19
1272	1233	34	225	1	E54
1273	1234	42	225	1	F11
1274	1235	73	225	1	F03
1275	1236	17	226	1	B15
1276	1237	46	226	1	E17
1277	1237	46	226	1	E18
1278	1238	50	226	1	B08
1279	1239	61	226	1	F03
1280	1240	83	226	1	E45
1281	1241	87	226	1	F09
1282	1241	87	226	3	F10
1283	1242	21	227	1	B29
1284	1243	23	227	1	B17
1285	1244	34	227	1	E51
1286	1245	53	227	1	E10
1287	1246	91	227	1	B02
1288	1247	7	228	1	F09
1289	1248	14	228	1	F04
1290	1249	42	228	1	B16
1291	1250	54	228	1	B01
1292	1251	86	228	1	E27
1293	1252	91	228	1	B18
1294	1253	22	229	1	E50
1295	1254	52	229	1	E31
1296	1255	58	229	1	F09
1297	1256	63	229	1	E07
1298	1257	64	229	1	B25
1299	1258	3	230	1	F09
1300	1259	10	230	1	F09
1301	1260	32	230	1	E41
1302	1261	37	230	1	E51
1303	1262	21	231	1	F07
1304	1263	32	231	1	B30
1305	1264	48	231	1	F08
1306	1265	58	231	1	B09
1307	1266	70	231	1	E17
1308	1267	72	231	1	F04
1309	1268	89	231	1	F11
1310	1269	4	232	1	E22
1311	1270	6	232	1	E10
1312	1271	75	232	1	F12
1313	1272	90	232	1	F10
1314	1273	21	233	1	E13
1315	1274	29	233	1	F04
1316	1275	82	233	1	B15
1317	1275	82	233	2	B16
1318	1276	84	233	1	F12
1319	1277	85	233	1	F04
1320	1277	85	233	1	F05
1321	1278	7	234	1	B24
1322	1279	27	234	1	B15
1323	1280	31	234	1	F02
1324	1281	55	234	1	E07
1325	1282	90	234	1	F11
1326	1283	14	235	1	F05
1327	1284	20	235	1	F06
1328	1285	37	235	1	E25
1329	1286	76	235	1	F11
1330	1287	91	235	1	B26
1331	1288	26	236	1	E19
1332	1289	30	236	1	E22
1333	1290	34	236	1	B29
1334	1291	35	236	1	E02
1335	1292	43	236	1	F08
1336	1293	73	236	1	B22
1337	1294	81	236	1	B30
1338	1295	69	237	1	F12
1339	1296	82	237	1	E42
1340	1297	51	238	1	B16
1341	1298	52	238	1	B18
1342	1299	54	238	1	F11
1343	1300	69	238	1	E38
1344	1301	76	238	1	F02
1345	1302	20	239	1	B09
1346	1303	26	239	1	E34
1347	1304	27	239	1	F06
1348	1305	54	239	1	B03
1349	1306	95	239	1	F05
1350	1307	14	240	1	F05
1351	1308	15	240	1	E19
1352	1309	34	240	1	B29
1353	1310	48	240	1	E56
1354	1311	64	240	1	E50
1355	1312	93	240	3	E34
1356	1313	6	241	1	E15
1357	1314	53	241	1	F08
1358	1315	77	241	1	E09
1359	1316	82	241	1	E52
1360	1317	89	241	1	B20
1361	1318	12	242	1	F01
1362	1319	25	242	1	E21
1363	1320	34	242	1	F12
1364	1321	35	242	1	B09
1365	1322	19	243	1	F06
1366	1323	30	244	1	F01
1367	1324	32	244	1	B07
1368	1325	48	244	1	B19
1369	1326	56	244	1	E01
1370	1327	57	244	1	B02
1371	1328	66	244	1	E09
1372	1329	67	244	1	B23
1373	1330	85	244	1	F07
1374	1331	14	245	1	F03
1375	1332	17	245	1	B26
1376	1333	22	245	1	E48
1377	1334	25	245	1	B11
1378	1335	44	245	1	B26
1379	1336	49	245	1	F05
1380	1337	60	245	1	B28
1381	1338	93	245	1	F06
1382	1339	21	246	1	E50
1383	1340	38	246	1	B11
1384	1341	7	247	1	B14
1385	1342	35	247	1	B22
1386	1343	45	247	1	E14
1387	1344	53	247	1	E11
1388	1345	69	247	1	E47
1389	1346	70	247	1	F05
1390	1347	81	247	1	E16
1391	1348	32	248	1	B12
1392	1349	70	248	1	F06
1393	1350	80	248	1	F03
1394	1351	84	248	1	F01
1395	1352	92	248	1	B16
1396	1353	26	249	1	E05
1397	1354	38	249	1	B24
1398	1355	45	249	1	B12
1399	1356	53	249	1	E25
1400	1357	71	249	1	B17
1401	1358	3	250	1	E31
1402	1359	5	250	1	B11
1403	1360	35	250	1	E48
1404	1361	44	250	1	F03
1405	1362	47	250	1	E29
1406	1363	1	251	1	B26
1407	1364	14	251	1	F08
1408	1365	22	251	1	E23
1409	1366	24	251	1	E26
1410	1366	24	251	2	E27
1411	1367	37	251	1	F03
1412	1368	51	251	1	F05
1413	1369	22	252	1	B24
1414	1370	25	252	1	B11
1415	1371	28	252	1	B16
1416	1372	33	252	1	F02
1417	1373	66	252	1	B17
1418	1374	6	253	1	E25
1419	1375	11	253	1	B09
1420	1375	11	253	1	B10
1421	1376	27	253	1	B18
1422	1377	79	253	1	F02
1423	1378	92	253	1	B06
1424	1379	13	254	1	F10
1425	1380	15	254	1	B28
1426	1381	76	254	1	E52
1427	1382	90	254	1	F03
1428	1383	93	254	1	F04
1429	1384	95	254	1	F08
1430	1385	26	255	1	B11
1431	1386	33	255	1	E19
1432	1387	58	255	1	B05
1433	1388	59	255	1	E11
1434	1389	89	255	1	B11
1435	1390	1	256	1	B14
1436	1391	20	256	1	E37
1437	1392	47	256	1	F09
1438	1393	55	256	1	E36
1439	1394	59	256	1	F03
1440	1395	61	256	1	E12
1441	1396	79	256	1	E30
1442	1397	8	257	1	F11
1443	1398	19	257	1	B08
1444	1399	42	257	1	E48
1445	1400	73	257	1	F03
1446	1401	77	257	1	F10
1447	1402	92	257	1	B24
1448	1403	26	258	1	B02
1449	1404	90	258	1	F04
1450	1405	11	259	1	B25
1451	1406	13	259	1	E13
1452	1406	13	259	3	E14
1453	1407	30	259	1	E44
1454	1408	50	259	1	B13
1455	1409	68	259	1	F04
1456	1410	72	259	1	E25
1457	1411	79	259	1	F05
1458	1412	3	260	1	B25
1459	1413	15	260	1	B11
1460	1414	22	260	1	F09
1461	1415	25	260	1	B15
1462	1416	31	260	1	F07
1463	1417	42	260	1	F07
1464	1418	43	260	1	B29
1465	1419	48	260	1	F07
1466	1420	69	260	1	E53
1467	1421	75	260	1	E31
1468	1422	87	260	1	F12
1469	1423	8	261	1	B03
1470	1424	11	261	1	B15
1471	1425	18	261	1	E13
1472	1426	20	261	1	F01
1473	1426	20	261	2	F02
1474	1427	69	261	1	B30
1475	1428	32	262	1	B16
1476	1429	34	262	1	B25
1477	1430	43	262	1	B26
1478	1431	58	262	1	B11
1479	1432	59	262	1	E45
1480	1433	86	262	1	F10
1481	1434	95	262	1	F03
1482	1435	26	263	1	B11
1483	1436	38	263	1	B04
1484	1437	41	263	1	B26
1485	1438	45	263	1	E54
1486	1439	54	263	1	F12
1487	1440	69	263	1	E55
1488	1441	84	263	1	E15
1489	1442	6	264	1	E27
1490	1443	55	264	1	B12
1491	1444	11	265	1	F05
1492	1445	21	265	1	E28
1493	1446	42	265	1	F08
1494	1447	43	265	1	B01
1495	1448	46	265	1	E24
1496	1449	47	265	1	E44
1497	1450	60	265	1	F08
1498	1451	79	265	1	B20
1499	1452	86	265	1	B13
1500	1453	89	265	1	F05
1501	1454	94	265	1	F05
1502	1455	13	266	1	B17
1503	1456	14	266	1	E25
1504	1456	14	266	1	E26
1505	1457	63	266	1	B11
1506	1458	65	266	1	F08
1507	1459	2	267	1	F06
1508	1460	55	267	1	E21
1509	1461	2	268	1	E27
1510	1462	18	268	1	F02
1511	1463	36	268	1	E55
1512	1464	49	268	1	B17
1513	1465	59	268	1	F02
1514	1466	65	268	1	B24
1515	1467	82	268	1	F07
1516	1468	11	269	1	E26
1517	1469	21	269	1	E29
1518	1470	76	269	1	E11
1519	1471	21	270	1	B23
1520	1472	27	270	1	B03
1521	1473	38	270	1	F07
1522	1474	44	270	1	E05
1523	1475	47	270	1	F06
1524	1476	83	270	1	F06
1525	1477	72	271	1	F04
1526	1478	84	271	1	B17
1527	1478	84	271	1	B18
1528	1479	91	271	1	F03
1529	1480	3	272	1	E21
1530	1481	5	272	1	F08
1531	1482	14	272	1	E42
1532	1483	23	272	1	B13
1533	1483	23	272	3	B14
1534	1484	45	272	1	E23
1535	1485	72	272	1	F01
1536	1486	22	273	1	B19
1537	1487	29	273	1	B17
1538	1488	55	273	1	E08
1539	1489	73	273	1	B28
1540	1490	79	273	1	F04
1541	1491	13	274	1	E21
1542	1492	26	274	1	B05
1543	1493	29	274	1	F02
1544	1494	34	274	1	B20
1545	1495	47	274	1	B13
1546	1496	24	275	1	E17
1547	1497	41	275	1	E46
1548	1498	49	275	1	B16
1549	1499	62	275	1	E11
1550	1500	86	275	1	B22
1551	1501	12	276	1	B28
1552	1502	26	276	1	F08
1553	1502	26	276	2	F09
1554	1503	1	277	1	F05
1555	1504	2	277	1	B07
1556	1505	42	277	1	B18
1557	1506	86	277	1	F11
1558	1507	50	278	1	F09
1559	1508	64	278	1	F10
1560	1509	94	278	1	B05
1561	1509	94	278	2	B06
1562	1510	39	279	1	E03
1563	1511	53	279	1	F02
1564	1512	64	279	1	F11
1565	1513	69	279	1	E07
1566	1514	95	279	1	B05
1567	1515	5	280	1	E48
1568	1516	34	280	1	E12
1569	1517	48	280	1	F06
1570	1518	64	280	1	E13
1571	1519	92	280	1	F12
1572	1520	7	281	1	E50
1573	1521	19	281	1	E30
1574	1522	64	281	1	E29
1575	1523	79	281	1	E18
1576	1524	9	282	1	B20
1577	1525	10	282	1	B21
1578	1526	15	282	1	F03
1579	1527	38	282	1	B02
1580	1528	40	282	1	E31
1581	1529	43	282	1	B25
1582	1530	46	282	1	F12
1583	1531	54	282	1	B23
1584	1532	62	282	1	B08
1585	1533	40	283	1	F08
1586	1534	60	283	1	E18
1587	1535	66	283	1	E08
1588	1536	93	283	1	E50
1589	1537	95	283	1	E45
1590	1538	12	284	1	B03
1591	1539	20	284	1	F04
1592	1540	30	284	1	B07
1593	1541	45	284	1	F01
1594	1542	50	284	1	E52
1595	1543	52	284	1	B17
1596	1544	53	284	1	B29
1597	1545	61	284	1	E34
1598	1546	72	284	1	E36
1599	1547	88	284	1	E18
1600	1548	37	285	1	B28
1601	1549	50	285	1	E55
1602	1550	56	285	1	F06
1603	1551	67	285	1	F06
1604	1552	89	285	1	B14
1605	1553	91	285	1	E06
1606	1554	10	286	1	F11
1607	1555	31	286	1	B22
1608	1555	31	286	1	B23
1609	1556	33	286	1	E25
1610	1557	36	286	1	E46
1611	1558	41	286	1	B21
1612	1559	44	286	1	E55
1613	1560	88	286	1	E50
1614	1561	11	287	1	B15
1615	1562	21	287	1	E45
1616	1563	29	287	1	E35
1617	1564	45	287	1	B16
1618	1565	50	287	1	F12
1619	1566	56	287	1	E39
1620	1567	79	287	1	F07
1621	1568	95	287	1	E02
1622	1569	35	288	1	F05
1623	1570	50	288	1	B07
1624	1571	82	288	1	E15
1625	1572	8	289	1	F05
1626	1573	16	289	1	F01
1627	1574	55	289	1	B15
1628	1575	87	289	1	B30
1629	1576	3	290	1	F06
1630	1577	14	290	1	E44
1631	1578	27	290	1	E01
1632	1579	44	290	1	B08
1633	1580	67	290	1	E31
1634	1581	86	290	1	B01
1635	1582	25	291	1	B14
1636	1583	30	291	1	F01
1637	1584	43	291	1	B13
1638	1585	62	291	1	E02
1639	1586	73	291	1	B18
1640	1587	78	291	1	F08
1641	1588	5	292	1	B22
1642	1589	17	292	1	F02
1643	1590	22	292	1	F01
1644	1591	54	292	1	E02
1645	1592	56	292	1	B12
1646	1593	70	292	1	B06
1647	1594	16	293	1	F08
1648	1595	56	293	1	E42
1649	1596	19	294	1	E52
1650	1597	45	294	1	E52
1651	1598	26	295	1	F08
1652	1599	41	295	1	F02
1653	1600	56	295	1	E09
1654	1601	81	295	1	B27
1655	1602	86	295	1	B23
1656	1603	94	295	1	F02
1657	1604	7	296	1	B08
1658	1605	28	296	1	E24
1659	1606	29	296	1	F02
1660	1607	52	296	1	E31
1661	1608	84	296	1	E05
1662	1609	90	296	1	E47
1663	1610	20	297	1	E09
1664	1611	28	297	1	B30
1665	1612	61	297	1	B28
1666	1613	65	297	1	B24
1667	1614	82	297	1	B19
1668	1615	95	297	1	F11
1669	1616	2	298	1	E48
1670	1617	89	298	1	E53
1671	1618	14	299	1	E22
1672	1619	35	299	1	B05
1673	1620	41	299	1	E05
1674	1621	43	299	1	F01
1675	1622	62	299	1	F04
1676	1623	87	299	1	E24
1677	1624	13	300	1	F03
1678	1625	81	300	1	F10
1679	1626	32	301	1	B22
1680	1627	38	301	1	B11
1681	1628	70	301	1	F03
1682	1629	85	301	1	B18
1683	1630	90	301	1	E34
1684	1631	36	302	1	E22
1685	1632	37	302	1	B02
1686	1633	52	302	1	E39
1687	1634	53	302	1	F06
1688	1635	54	302	1	B19
1689	1636	69	302	1	F04
1690	1637	93	302	1	F12
1691	1638	17	303	1	E55
1692	1639	33	303	1	E01
1693	1640	44	303	1	F06
1694	1641	51	303	1	B22
1695	1642	59	303	1	F08
1696	1643	61	303	1	B25
1697	1644	71	303	1	B03
1698	1645	78	303	1	B30
1699	1646	91	303	1	E47
1700	1647	16	304	1	E34
1701	1648	28	304	1	E44
1702	1649	93	304	1	E01
1703	1650	3	305	1	E12
1704	1651	7	305	1	F03
1705	1652	31	305	1	B07
1706	1653	32	305	1	F10
1707	1654	21	306	1	F10
1708	1655	31	306	1	B05
1709	1656	90	306	1	F10
1710	1657	1	307	1	F01
1711	1658	2	307	1	B18
1712	1659	7	307	1	E08
1713	1660	8	307	1	B12
1714	1661	19	307	1	E36
1715	1662	32	307	1	E20
1716	1663	89	307	1	F02
1717	1664	23	308	1	F04
1718	1665	71	308	1	E54
1719	1666	37	309	1	E17
1720	1667	60	309	1	E34
1721	1668	70	309	1	B07
1722	1669	82	309	1	B08
1723	1670	83	309	1	F02
1724	1671	17	310	1	E41
1725	1672	42	310	1	F05
1726	1672	42	310	1	F06
1727	1673	58	310	1	B25
1728	1674	68	310	1	B09
1729	1675	82	310	1	F09
1730	1676	30	311	1	B10
1731	1677	31	311	1	E51
1732	1678	37	311	1	F06
1733	1679	42	311	1	B23
1734	1680	48	311	1	F05
1735	1681	91	311	1	E15
1736	1682	3	312	1	F06
1737	1683	4	312	1	B27
1738	1684	13	312	1	E25
1739	1685	20	312	1	E46
1740	1686	30	312	1	F12
1741	1687	35	312	1	B02
1742	1688	56	312	1	F07
1743	1689	91	312	1	F12
1744	1690	7	313	1	B20
1745	1691	17	313	1	F06
1746	1692	19	313	1	B15
1747	1693	54	313	1	B29
1748	1694	83	313	1	B21
1749	1695	95	313	1	B21
1750	1696	11	314	1	B10
1751	1697	19	314	1	B09
1752	1698	33	314	1	F02
1753	1699	44	314	1	F05
1754	1700	77	314	1	E28
1755	1701	84	314	1	B10
1756	1702	12	315	1	E22
1757	1703	17	315	1	E44
1758	1704	18	315	1	F04
1759	1705	35	315	1	B06
1760	1706	59	315	1	B24
1761	1707	95	315	1	F10
1762	1708	1	316	1	E34
1763	1709	17	316	1	B26
1764	1710	20	316	1	B22
1765	1711	46	316	1	B02
1766	1712	67	316	1	F08
1767	1713	78	316	1	E29
1768	1714	4	317	1	E50
1769	1715	30	317	1	F02
1770	1716	36	317	1	B16
1771	1717	48	317	1	B04
1772	1718	25	318	1	E38
1773	1719	39	318	1	E16
1774	1720	41	318	1	F05
1775	1721	51	318	1	F02
1776	1722	58	318	1	B24
1777	1722	58	318	1	B25
1778	1723	70	318	1	B23
1779	1724	72	318	1	F07
1780	1725	90	318	1	F06
1781	1726	94	318	1	B15
1782	1727	1	319	1	E17
1783	1728	31	319	1	F08
1784	1729	34	319	1	B21
1785	1730	36	319	1	E52
1786	1731	42	319	1	B20
1787	1732	48	319	1	F12
1788	1732	48	319	3	F13
1789	1733	61	319	1	E04
1790	1734	62	319	1	B25
1791	1735	87	319	1	F09
1792	1736	88	319	1	B25
1793	1737	30	320	1	E32
1794	1738	40	320	1	B30
1795	1739	50	320	1	F02
1796	1740	68	320	1	E13
1797	1741	1	321	1	E39
1798	1742	26	321	1	B23
1799	1743	38	321	1	F05
1800	1744	43	321	1	B07
1801	1745	51	321	1	E22
1802	1746	76	321	1	E16
1803	1747	86	321	1	F04
1804	1748	13	322	1	B10
1805	1749	24	322	1	E23
1806	1750	33	322	1	B09
1807	1751	42	322	1	B06
1808	1752	47	322	1	F09
1809	1753	77	322	1	E01
1810	1754	79	322	1	B09
1811	1755	32	323	1	B01
1812	1756	88	323	1	B02
1813	1757	89	323	1	E52
1814	1758	7	324	1	B01
1815	1759	23	324	1	E31
1816	1760	34	324	1	B20
1817	1761	35	324	1	B23
1818	1762	64	324	1	B17
1819	1763	70	324	1	F10
1820	1764	75	324	1	E12
1821	1765	87	324	1	B18
1822	1766	41	325	1	F03
1823	1767	48	325	1	B16
1824	1768	55	325	1	E20
1825	1769	63	325	1	E34
1826	1770	73	325	1	F05
1827	1771	91	325	1	B02
1828	1772	9	326	1	E49
1829	1773	45	326	1	E26
1830	1774	84	326	1	F11
1831	1775	85	326	1	E50
1832	1776	2	327	1	F12
1833	1777	40	327	1	F07
1834	1778	53	327	1	F03
1835	1779	64	327	1	F12
1836	1780	92	327	1	B03
1837	1781	41	328	1	B11
1838	1782	45	328	1	E11
1839	1783	55	328	1	E13
1840	1784	56	328	1	B14
1841	1785	62	328	1	B25
1842	1786	78	328	1	F02
1843	1787	83	328	1	B13
1844	1788	24	329	1	E41
1845	1789	49	329	1	F07
1846	1790	51	329	1	E01
1847	1791	56	329	1	E21
1848	1792	60	329	1	F06
1849	1793	61	329	1	E04
1850	1794	72	329	1	B30
1851	1795	74	329	1	F06
1852	1796	80	329	1	E38
1853	1797	1	330	1	B12
1854	1798	3	330	1	B15
1855	1799	19	330	1	B30
1856	1800	29	330	1	B19
1857	1801	47	330	1	F01
1858	1802	55	331	1	F12
1859	1803	81	331	1	E02
1860	1804	90	331	1	B21
1861	1805	1	332	1	E10
1862	1806	34	332	1	E47
1863	1807	64	332	1	B10
1864	1808	1	333	1	B04
1865	1809	15	333	1	F06
1866	1810	16	333	1	E38
1867	1811	24	333	1	B29
1868	1811	24	333	3	B30
1869	1812	30	333	1	F08
1870	1813	39	333	1	E50
1871	1814	40	333	1	B04
1872	1815	45	333	1	F12
1873	1816	85	333	1	F11
1874	1817	87	333	1	E41
1875	1818	6	334	1	F12
1876	1819	8	334	1	B23
1877	1820	14	334	1	F07
1878	1821	25	334	1	E10
1879	1822	67	334	1	B30
1880	1823	88	334	1	E42
1881	1824	91	334	1	F06
1882	1825	1	336	1	B08
1883	1826	5	336	1	E23
1884	1827	20	336	1	B14
1885	1828	36	336	1	F02
1886	1829	47	336	1	F12
1887	1830	60	336	1	E10
1888	1831	75	336	1	E39
1889	1832	10	337	1	E41
1890	1833	28	337	1	B20
1891	1834	33	337	1	F08
1892	1835	38	337	1	B19
1893	1836	39	337	1	B18
1894	1837	55	337	1	B06
1895	1838	2	338	1	F07
1896	1839	7	338	1	F02
1897	1840	8	338	1	B04
1898	1841	10	338	1	F11
1899	1842	37	338	1	E14
1900	1843	42	338	1	E04
1901	1844	51	338	1	E41
1902	1845	71	338	1	B30
1903	1846	80	338	1	B09
1904	1847	29	339	1	E09
1905	1848	67	339	1	E04
1906	1849	84	339	1	B18
1907	1850	1	340	1	E04
1908	1851	28	340	1	B19
1909	1852	31	340	1	B05
1910	1853	35	340	1	E13
1911	1854	39	340	1	F04
1912	1855	17	341	1	B10
1913	1856	31	341	1	F10
1914	1857	34	341	1	F01
1915	1858	48	341	1	E40
1916	1859	50	341	1	E24
1917	1860	54	341	1	B25
1918	1861	64	341	1	F03
1919	1862	71	341	1	F06
1920	1863	73	341	1	F07
1921	1864	76	341	1	B06
1922	1865	84	341	1	E45
1923	1866	92	341	1	F08
1924	1867	5	342	1	E48
1925	1868	16	342	1	B01
1926	1869	49	342	1	B16
1927	1870	73	342	1	F07
1928	1871	12	343	1	E11
1929	1872	68	343	1	B20
1930	1873	70	343	1	F05
1931	1874	75	343	1	B21
1932	1875	77	343	1	F07
1933	1876	27	344	1	F12
1934	1877	46	344	1	F08
1935	1878	73	344	1	E09
1936	1879	23	345	1	B04
1937	1880	35	345	1	E06
1938	1881	56	345	1	E02
1939	1882	61	345	1	F12
1940	1883	68	345	1	B14
1941	1884	69	345	1	E26
1942	1885	84	345	1	F04
1943	1886	15	346	1	E04
1944	1887	68	346	1	E36
1945	1888	79	346	1	B17
1946	1889	90	346	1	E14
1947	1890	22	347	1	B13
1948	1891	30	347	1	E34
1949	1892	49	347	1	F11
1950	1893	61	347	1	F10
1951	1894	72	347	1	F06
1952	1895	74	347	1	E13
1953	1896	79	347	1	F01
1954	1897	81	347	1	B20
1955	1898	1	348	1	B24
1956	1899	25	348	1	E26
1957	1900	33	348	1	E53
1958	1901	36	348	1	E02
1959	1902	38	348	1	F03
1960	1903	58	348	1	E33
1961	1904	60	348	1	B30
1962	1905	63	348	1	B07
1963	1906	78	348	1	E41
1964	1907	86	348	1	E25
1965	1908	26	349	1	B29
1966	1909	47	349	1	E03
1967	1910	48	349	1	E44
1968	1911	49	349	1	B16
1969	1911	49	349	3	B17
1970	1912	53	349	1	E31
1971	1913	3	350	1	B14
1972	1914	23	350	1	B04
1973	1915	38	350	1	F01
1974	1916	44	350	1	E55
1975	1917	52	350	1	F04
1976	1918	80	350	1	F06
1977	1919	84	350	1	E31
1978	1920	85	350	1	E29
1979	1921	92	350	1	B12
1980	1922	23	351	1	F05
1981	1923	40	351	1	F05
1982	1924	69	351	1	F04
1983	1925	80	351	1	E34
1984	1926	87	351	1	F06
1985	1927	14	352	1	B13
1986	1928	27	352	1	F11
1987	1929	36	352	1	F04
1988	1930	37	352	1	E30
1989	1931	68	352	1	E32
1990	1932	84	352	1	F02
1991	1933	9	353	1	B21
1992	1934	11	353	1	F03
1993	1935	61	353	1	F01
1994	1936	79	353	1	B10
1995	1937	88	353	1	E01
