no	ono	date	uno	mno	quantity	togo	options	optionqty	price	complete
463	04407092	2024-08-05	93	130	2	0			8200	1
464	04411093	2024-08-05	105	20	3	0	3,6	1,1	12600	1
465	04425094	2024-08-05	135	104	2	0	1,8	2,1	16000	1
466	04437095	2024-08-05	141	128	2	0	6	1	9200	1
467	04447001	2024-08-06	3	126	1	0	6	1	5100	1
468	04454002	2024-08-06	22	94	2	0			6200	1
469	04465003	2024-08-06	33	112	1	0	1,8	1,1	7500	1
470	04471004	2024-08-06	49	6	3	0	8	1	12100	1
471	04486005	2024-08-06	50	124	3	0	6	1	22300	1
472	04485006	2024-08-06	50	115	1	0	1,3	1,1	8200	1
473	04491007	2024-08-06	54	25	1	0	1	1	4000	1
474	04508008	2024-08-06	67	138	2	0	6	2	9800	1
475	04516009	2024-08-06	70	118	2	0	6,7	2,2	17600	1
476	04522010	2024-08-06	74	38	2	0	6	1	8800	1
477	04532011	2024-08-06	81	39	2	0	6	2	11000	1
478	04544012	2024-08-06	103	80	3	0			9000	1
479	04551013	2024-08-06	105	23	1	0			3600	1
480	04561014	2024-08-06	3	6	2	0	1,2,8	1,1,1	9400	1
481	04575015	2024-08-06	4	107	1	0	6,7	1,1	6000	1
482	04587016	2024-08-06	18	129	3	0			12300	1
483	04596017	2024-08-06	21	124	1	0	6	1	8100	1
484	04602018	2024-08-06	29	41	1	0	6	1	5900	1
485	04618019	2024-08-06	38	137	3	0	6	1	12700	1
486	04622020	2024-08-06	94	43	3	0	6	2	13700	1
487	04634021	2024-08-06	133	85	1	0			3500	1
488	04644022	2024-08-06	136	87	2	0			7000	1
489	04656023	2024-08-06	137	122	2	0	6	1	15600	1
490	04664024	2024-08-06	139	77	2	0			13000	1
491	04671025	2024-08-06	147	1	3	0	2	1	5000	1
492	04682026	2024-08-06	7	44	1	0			3900	1
493	04695027	2024-08-06	12	101	1	0	6,8	1,1	6500	1
494	04707028	2024-08-06	20	128	3	0			12300	1
495	04716029	2024-08-06	35	118	2	0			14600	1
496	04727030	2024-08-06	42	129	1	0	6	1	5100	1
497	04731031	2024-08-06	57	3	2	0	1,8	2,1	7000	1
498	04742032	2024-08-06	86	38	2	0			7800	1
499	04754033	2024-08-06	98	87	1	0			3500	1
500	04766034	2024-08-06	99	125	2	0			14000	1
501	04772035	2024-08-06	123	41	1	0			4900	1
502	04781036	2024-08-06	124	15	2	0	2,6	2,1	9000	1
503	04791037	2024-08-06	126	29	3	0			12600	1
504	04801038	2024-08-06	129	20	3	0	1,3,6	1,2,1	13600	1
505	04817039	2024-08-06	130	135	3	0	6	1	13300	1
506	04824040	2024-08-06	135	95	1	0			3100	1
507	04834041	2024-08-06	5	77	2	0			13000	1
508	04847042	2024-08-06	27	134	1	0	6	1	5100	1
509	04855043	2024-08-06	46	109	1	0	1,6,8	1,1,1	7600	1
510	04863044	2024-08-06	65	66	2	0			15000	1
511	04877045	2024-08-06	67	127	1	0	6	1	5100	1
512	04881046	2024-08-06	79	12	1	0	7	1	4800	1
513	04895047	2024-08-06	87	110	3	0	8	1	20500	1
514	04908048	2024-08-06	95	138	2	0			7800	1
515	04917049	2024-08-06	98	135	2	0			8200	1
516	04926050	2024-08-06	144	120	3	0	6,7	1,2	25700	1
517	04935051	2024-08-06	2	105	1	0	6,8	1,1	7300	1
518	04943052	2024-08-06	23	66	1	0			7500	1
519	04954053	2024-08-06	35	80	2	0			6000	1
520	04966054	2024-08-06	54	121	3	0	7	2	23800	1
521	04975055	2024-08-06	92	111	1	0	1,8	1,1	7500	1
522	04985056	2024-08-06	95	114	3	0	1,3,6	2,2,2	24700	1
523	04997057	2024-08-06	117	128	2	0	6	2	10200	1
524	05005058	2024-08-06	131	114	1	0			6900	1
525	05016059	2024-08-06	45	124	2	0	6	1	15200	1
526	05023060	2024-08-06	65	54	2	0	2,8	1,2	16300	1
527	05035061	2024-08-06	76	98	2	0	8	2	11000	1
528	05045062	2024-08-06	100	115	3	0	1,3	2,1	23100	1
529	05056063	2024-08-06	103	122	3	0	6,7	2,2	24900	1
530	05068064	2024-08-06	123	142	1	0	6	1	4900	1
531	05077065	2024-08-06	134	135	1	0			4100	1
532	05083066	2024-08-06	140	57	2	0	6	2	11800	1
533	05091067	2024-08-06	141	15	3	0	1	2	11500	1
534	05104068	2024-08-06	143	71	2	0			6400	1
535	05116069	2024-08-06	15	120	3	0	6,7	2,1	26200	1
536	05128070	2024-08-06	21	143	2	0	6	1	8800	1
537	05122071	2024-08-06	21	32	2	0			7800	1
538	05134072	2024-08-06	41	83	2	0			4600	1
539	05144073	2024-08-06	62	79	2	0			5600	1
540	05154074	2024-08-06	75	94	1	0			3100	1
541	05165075	2024-08-06	81	110	3	0	1,6	1,1	21000	1
542	05177076	2024-08-06	82	130	1	0	6	1	5100	1
543	05182077	2024-08-06	96	41	2	0			9800	1
544	05192078	2024-08-06	113	36	2	0			7800	1
545	05207079	2024-08-06	118	129	1	0			4100	1
546	05218080	2024-08-06	122	141	1	0	6	1	4900	1
547	05228081	2024-08-06	126	139	2	0	6	2	9800	1
548	05237082	2024-08-06	127	127	2	0	6	1	9200	1
549	05243083	2024-08-06	139	50	2	0	6,7	1,1	15300	1
550	05255084	2024-08-06	2	107	1	0	6	1	5500	1
551	05265085	2024-08-06	18	105	3	0	1,6,8	2,1,1	18900	1
552	05277086	2024-08-06	21	135	3	0	6	2	14300	1
553	05281087	2024-08-06	33	9	1	0	1,2	1,1	4500	1
554	05292088	2024-08-06	57	36	3	0			11700	1
555	05301089	2024-08-06	67	7	1	0			4000	1
556	05313090	2024-08-06	88	69	3	0	6	2	22700	1
557	05323091	2024-08-06	93	47	2	0	6	1	12000	1
558	05337092	2024-08-06	97	133	2	0	6	1	9200	1
559	05343093	2024-08-06	107	69	1	0	6	1	7900	1
560	05357094	2024-08-06	112	129	2	0			8200	1
561	05362095	2024-08-06	115	37	2	0			7800	1
562	05371001	2024-08-07	3	24	3	0			10800	1
563	05382002	2024-08-07	65	34	2	0	6	1	12000	1
564	05391003	2024-08-07	69	17	1	0	3	1	3700	1
565	05403004	2024-08-07	70	46	2	0	6,7	1,1	13300	1
566	05408005	2024-08-07	70	145	1	0	6	1	4900	1
567	05418006	2024-08-07	106	137	2	0			7800	1
568	05427007	2024-08-07	109	130	2	0	6	1	9200	1
569	05431008	2024-08-07	118	21	1	0	6	1	4400	1
570	05441009	2024-08-07	146	20	3	0	6	1	12100	1
571	05453010	2024-08-07	32	57	1	0			4900	1
572	05464011	2024-08-07	55	72	1	0			3200	1
573	05475012	2024-08-07	60	109	3	0	1,6,8	2,1,1	18300	1
574	05487013	2024-08-07	62	126	2	0	6	2	10200	1
575	05493014	2024-08-07	64	64	3	0			16500	1
576	05504015	2024-08-07	66	76	3	0			9900	1
577	05516016	2024-08-07	70	123	3	0			21900	1
578	05525017	2024-08-07	85	112	1	0	1,6,8	1,1,1	8500	1
579	05532018	2024-08-07	101	34	1	0	6	1	6500	1
580	05545019	2024-08-07	120	100	3	0	6,7	1,1	21300	1
581	05553020	2024-08-07	130	68	1	0	6	1	8500	1
582	05568021	2024-08-07	146	145	3	0	6	1	12700	1
583	05574022	2024-08-07	147	80	3	0			9000	1
584	05587023	2024-08-07	23	130	1	0	6	1	5100	1
585	05592024	2024-08-07	38	35	2	0	6	1	12000	1
586	05603025	2024-08-07	39	49	3	0	2	1	18200	1
587	05611026	2024-08-07	66	25	2	0	3	2	8000	1
588	05628027	2024-08-07	72	140	2	0	6	1	8800	1
589	05631028	2024-08-07	89	10	2	0	1	2	8600	1
590	05647029	2024-08-07	109	131	3	0	6	2	14300	1
591	05647030	2024-08-07	109	132	1	0	6	1	5100	1
592	05654031	2024-08-07	124	87	2	0			7000	1
593	05661032	2024-08-07	129	12	1	0	1,6,7	1,1,1	6300	1
594	05674033	2024-08-07	132	79	1	0			2800	1
595	05681034	2024-08-07	142	8	3	0	1,3	1,2	15000	1
596	05696035	2024-08-07	2	117	3	0	6	1	21100	1
597	05703036	2024-08-07	4	47	2	0	2,6	1,1	12500	1
598	05715037	2024-08-07	10	97	1	0	1,6	1,1	7400	1
599	05727038	2024-08-07	38	131	2	0	6	2	10200	1
600	05733039	2024-08-07	46	53	3	0	7	2	18700	1
601	05747040	2024-08-07	50	135	1	0	6	1	5100	1
602	05751041	2024-08-07	78	19	3	0	3,6	2,1	13100	1
603	05763042	2024-08-07	90	57	3	0			14700	1
604	05773043	2024-08-07	100	67	1	0	6	1	8500	1
605	05788044	2024-08-07	108	137	1	0	6	1	4900	1
606	05797045	2024-08-07	123	129	1	0			4100	1
607	05806046	2024-08-07	148	124	3	0	6,7	1,1	22800	1
608	05815047	2024-08-07	34	99	2	0	8	2	17600	1
609	05824048	2024-08-07	59	92	2	0			4200	1
610	05832049	2024-08-07	60	38	1	0			3900	1
611	05843050	2024-08-07	83	54	2	0	2,8	2,2	16800	1
612	05851051	2024-08-07	87	15	2	0	1,2	1,1	8000	1
613	05862052	2024-08-07	94	36	3	0	6	2	13700	1
614	05877053	2024-08-07	114	132	2	0	6	2	10200	1
615	05883054	2024-08-07	49	52	2	0	6,7	2,2	16800	1
616	05893055	2024-08-07	77	46	2	0	6,7	1,2	13800	1
617	05905056	2024-08-07	109	100	3	0	1,7	2,1	21300	1
618	05912057	2024-08-07	111	41	2	0	6	1	10800	1
619	05922058	2024-08-07	120	43	3	0	6	2	13700	1
620	05937059	2024-08-07	139	131	1	0			4100	1
621	05944060	2024-08-07	141	79	1	0			2800	1
622	05954061	2024-08-07	148	77	3	0			19500	1
623	05964062	2024-08-07	8	87	1	0			3500	1
624	05973063	2024-08-07	12	46	1	0	6,7	1,1	7400	1
625	05984064	2024-08-07	24	80	1	0			3000	1
626	05992065	2024-08-07	45	37	2	0	6	1	8800	1
627	06008066	2024-08-07	49	141	2	0			7800	1
628	06012067	2024-08-07	53	39	1	0			4500	1
629	06021068	2024-08-07	59	6	3	0	1,2	1,2	12600	1
630	06037069	2024-08-07	92	128	2	0			8200	1
631	06045070	2024-08-07	117	110	2	0	1,6,8	2,2,1	17000	1
632	06052071	2024-08-07	130	33	2	0			9800	1
633	06063001	2024-08-08	3	53	2	0			11800	1
634	06072002	2024-08-08	27	40	1	0			4500	1
635	06086003	2024-08-08	29	123	3	0			21900	1
636	06097004	2024-08-08	53	130	3	0	6	2	14300	1
637	06102005	2024-08-08	54	32	3	0	6	2	13700	1
638	06112006	2024-08-08	55	32	3	0	6	1	12700	1
639	06126007	2024-08-08	58	116	2	0	7	2	11400	1
640	06134008	2024-08-08	87	71	3	0			9600	1
641	06148009	2024-08-08	108	144	3	0	6	2	13700	1
642	06157010	2024-08-08	130	126	2	0	6	1	9200	1
643	06161011	2024-08-08	142	19	3	0	3,6	1,2	13600	1
644	06177012	2024-08-08	150	133	1	0	6	1	5100	1
645	06184013	2024-08-08	8	71	1	0			3200	1
646	06191014	2024-08-08	22	3	2	0	6,8	2,1	8000	1
647	06203015	2024-08-08	76	66	2	0	6	1	16000	1
648	06217016	2024-08-08	79	127	1	0	6	1	5100	1
649	06225017	2024-08-08	88	108	2	0	1,6	1,2	12100	1
650	06235018	2024-08-08	97	98	1	0	6	1	5500	1
651	06248019	2024-08-08	107	141	2	0			7800	1
652	06252020	2024-08-08	131	33	2	0			9800	1
653	06265021	2024-08-08	138	104	3	0			21000	1
654	06275022	2024-08-08	139	109	3	0	1	1	15800	1
655	06284023	2024-08-08	149	90	1	0			2400	1
656	06294024	2024-08-08	19	89	2	0			5400	1
657	06307025	2024-08-08	20	126	2	0			8200	1
658	06313026	2024-08-08	30	53	2	0	2,7	2,1	13300	1
659	06327027	2024-08-08	47	132	3	0	6	2	14300	1
660	06331028	2024-08-08	61	19	3	0	1,6	2,1	13100	1
661	06348029	2024-08-08	82	136	1	0			3900	1
662	06351030	2024-08-08	106	15	1	0	1,2,6	1,1,1	5500	1
663	06361031	2024-08-08	109	11	2	0	3,6	1,1	9500	1
664	06376032	2024-08-08	8	125	1	0	6	1	8000	1
665	06372033	2024-08-08	8	31	3	0			14700	1
666	06383034	2024-08-08	12	68	3	0	6	1	23500	1
667	06394035	2024-08-08	47	91	2	0			4800	1
668	06405036	2024-08-08	57	97	2	0	1,6,8	1,2,2	16300	1
669	06416037	2024-08-08	78	117	1	0			6700	1
670	06426038	2024-08-08	100	119	3	0	6,7	1,2	25700	1
671	06432039	2024-08-08	2	36	1	0	6	1	4900	1
672	06448040	2024-08-08	4	139	3	0	6	1	12700	1
673	06458041	2024-08-08	26	144	1	0			3900	1
674	06462042	2024-08-08	51	45	2	0	6	1	10800	1
675	06473043	2024-08-08	55	66	2	0			15000	1
676	06483044	2024-08-08	72	50	1	0	7	1	7400	1
677	06491045	2024-08-08	73	21	2	0	6	2	8800	1
678	06504046	2024-08-08	98	78	1	0			3000	1
679	06517047	2024-08-08	109	135	3	0			12300	1
680	06523048	2024-08-08	120	54	3	0	2	1	21200	1
681	06537049	2024-08-08	143	131	3	0			12300	1
682	06541050	2024-08-08	13	14	3	0	1,6	1,2	16000	1
683	06556051	2024-08-08	46	120	2	0	6	2	17800	1
684	06563052	2024-08-08	60	52	1	0	7	1	7400	1
685	06578053	2024-08-08	61	140	2	0	6	1	8800	1
686	06586054	2024-08-08	65	121	3	0	7	2	23800	1
687	06598055	2024-08-08	82	143	3	0	6	1	12700	1
688	06607056	2024-08-08	90	131	2	0	6	2	10200	1
689	06616057	2024-08-08	94	124	3	0	6,7	2,1	23800	1
690	06624058	2024-08-08	98	74	3	0			11100	1
691	06631059	2024-08-08	99	11	2	0	1,3	2,1	9500	1
692	06646060	2024-08-08	122	125	2	0	6,7	1,1	15500	1
693	06653061	2024-08-08	137	48	2	0	2	1	12300	1
694	06661062	2024-08-08	1	1	2	0	1,2	1,1	4000	1
695	06672063	2024-08-08	25	31	3	0			14700	1
696	06685064	2024-08-08	29	110	3	0	1,6,8	1,2,1	23000	1
697	06693065	2024-08-08	49	50	1	0	6,7	1,1	8400	1
698	06701066	2024-08-08	50	19	3	0	3,6	2,2	14100	1
699	06715067	2024-08-08	51	105	1	0	1	1	5800	1
700	06723068	2024-08-08	53	69	2	0			13800	1
701	06738069	2024-08-08	82	138	3	0	6	1	12700	1
702	06743070	2024-08-08	107	51	2	0	6,7	2,2	16800	1
703	06751071	2024-08-08	118	2	2	0	2,7	1,1	4000	1
704	06768072	2024-08-08	21	139	1	0	6	1	4900	1
705	06775073	2024-08-08	26	113	3	0	6	1	20500	1
706	06787074	2024-08-08	43	133	1	0	6	1	5100	1
707	06791075	2024-08-08	53	23	1	0			3600	1
708	06804076	2024-08-08	67	79	3	0			8400	1
709	06813077	2024-08-08	78	48	2	0	7	2	12800	1
710	06824078	2024-08-08	81	85	3	0			10500	1
711	06832079	2024-08-08	100	36	3	0	6	2	13700	1
712	06848080	2024-08-08	101	138	3	0	6	1	12700	1
713	06858081	2024-08-08	122	138	2	0	6	1	8800	1
714	06865082	2024-08-08	126	112	2	0	1	2	13000	1
715	06871083	2024-08-08	128	19	2	0	1	2	8400	1
716	06881084	2024-08-08	136	11	1	0	3,6	1,1	5500	1
717	06895085	2024-08-08	138	103	1	0	1,6	1,1	5700	1
718	06905086	2024-08-08	147	103	2	0	1,6	2,1	10400	1
719	06915001	2024-08-09	9	107	2	0	1,6,7	1,2,1	12000	1
720	06923002	2024-08-09	42	62	1	0	6	1	7900	1
721	06937003	2024-08-09	61	129	2	0			8200	1
722	06942004	2024-08-09	65	44	1	0	6	1	4900	1
723	06956005	2024-08-09	67	120	3	0			23700	1
724	06966006	2024-08-09	68	116	2	0	6,7	2,2	13400	1
725	06976007	2024-08-09	97	122	2	0			14600	1
726	06981008	2024-08-09	99	2	3	0	1,7	1,1	5500	1
727	06998009	2024-08-09	122	144	2	0	6	1	8800	1
728	07005010	2024-08-09	145	114	1	0	1,3,6	1,1,1	8900	1
729	07015011	2024-08-09	2	104	2	0	6,8	2,1	17000	1
730	07023012	2024-08-09	19	67	1	0	6	1	8500	1
731	07034013	2024-08-09	55	93	3	0			6300	1
732	07047014	2024-08-09	57	126	2	0			8200	1
733	07052015	2024-08-09	77	42	1	0	6	1	5900	1
734	07063016	2024-08-09	97	69	3	0	6	2	22700	1
735	07077017	2024-08-09	120	126	3	0	6	2	14300	1
736	07083018	2024-08-09	128	65	1	0	6	1	8500	1
737	07093019	2024-08-09	1	52	1	0	7	1	7400	1
738	07108020	2024-08-09	29	137	2	0			7800	1
739	07118021	2024-08-09	48	145	1	0			3900	1
740	07122022	2024-08-09	51	34	1	0	6	1	6500	1
741	07134023	2024-08-09	54	95	3	0			9300	1
742	07144024	2024-08-09	57	83	2	0			4600	1
743	07156025	2024-08-09	70	121	2	0	6,7	1,1	16700	1
744	07163026	2024-08-09	73	53	3	0	2,7	2,2	19700	1
745	07171027	2024-08-09	91	29	2	0	1,3	1,1	9400	1
746	07184028	2024-08-09	118	81	1	0			3000	1
747	07194029	2024-08-09	134	75	1	0			2700	1
748	07194030	2024-08-09	134	91	3	0			7200	1
749	07201031	2024-08-09	138	7	2	0	2	1	8500	1
750	07216032	2024-08-09	144	120	1	0			7900	1
751	07226033	2024-08-09	145	118	1	0	7	1	7800	1
752	07228034	2024-08-09	145	138	2	0			7800	1
753	07234035	2024-08-09	12	85	2	0			7000	1
754	07241036	2024-08-09	18	20	2	0			7400	1
755	07254037	2024-08-09	21	93	3	0			6300	1
756	07268038	2024-08-09	29	143	1	0	6	1	4900	1
757	07263039	2024-08-09	29	56	3	0			16800	1
758	07273040	2024-08-09	35	54	2	0	2,8	1,2	16300	1
759	07287041	2024-08-09	44	132	2	0	6	1	9200	1
760	07297042	2024-08-09	46	133	1	0	6	1	5100	1
761	07305043	2024-08-09	58	102	2	0	1,6	1,1	15700	1
762	07318044	2024-08-09	74	140	2	0			7800	1
763	07322045	2024-08-09	77	45	3	0			14700	1
764	07338046	2024-08-09	78	141	1	0			3900	1
765	07348047	2024-08-09	91	136	1	0			3900	1
766	07353048	2024-08-09	97	67	1	0	6	1	8500	1
767	07368049	2024-08-09	101	137	1	0	6	1	4900	1
768	07375050	2024-08-09	112	113	2	0	1,3,6	1,2,1	15500	1
769	07385051	2024-08-09	142	114	3	0	1,6	2,2	23700	1
770	07397052	2024-08-09	143	135	3	0	6	2	14300	1
771	07403053	2024-08-09	2	58	3	0	6	2	22700	1
772	07413054	2024-08-09	6	51	1	0	6,7	1,1	8400	1
773	07424055	2024-08-09	14	71	1	0			3200	1
774	07431056	2024-08-09	19	19	2	0	1,3	1,2	8900	1
775	07445057	2024-08-09	44	100	3	0	1,7	1,2	21300	1
776	07455058	2024-08-09	55	97	1	0	8	1	6900	1
777	07462059	2024-08-09	56	36	3	0	6	2	13700	1
778	07473060	2024-08-09	60	48	3	0	2,7	1,2	19200	1
779	07487061	2024-08-09	70	131	3	0			12300	1
780	07498062	2024-08-09	79	143	2	0	6	1	8800	1
781	07504063	2024-08-09	99	80	3	0			9000	1
782	07503064	2024-08-09	99	48	3	0	7	2	18700	1
783	07516065	2024-08-09	124	118	1	0			7300	1
784	07528066	2024-08-09	130	141	3	0	6	2	13700	1
785	07537067	2024-08-09	140	131	3	0	6	2	14300	1
786	07545068	2024-08-09	142	101	1	0	1,6,8	1,1,1	7000	1
787	07552069	2024-08-09	15	40	3	0	6	2	15500	1
788	07567070	2024-08-09	30	128	2	0	6	2	10200	1
789	07574071	2024-08-09	38	82	1	0			2300	1
790	07585072	2024-08-09	44	107	1	0	6,7	1,1	6000	1
791	07593073	2024-08-09	59	58	1	0	6	1	7900	1
792	07608074	2024-08-09	75	136	1	0			3900	1
793	07618075	2024-08-09	96	142	1	0	6	1	4900	1
794	07623076	2024-08-09	108	54	3	0	2,8	2,1	22700	1
795	07633077	2024-08-09	138	56	1	0			5600	1
796	07647078	2024-08-09	142	126	3	0	6	1	13300	1
797	07651079	2024-08-09	1	24	3	0	3	2	11800	1
798	07667080	2024-08-09	5	131	3	0			12300	1
799	07675081	2024-08-09	14	103	3	0	1,8	1,1	14100	1
800	07685082	2024-08-09	16	114	2	0	3	2	14800	1
801	07693083	2024-08-09	61	47	1	0	6	1	6500	1
802	07704084	2024-08-09	64	90	3	0			7200	1
803	07712085	2024-08-09	66	39	3	0	6	2	15500	1
804	07722086	2024-08-09	82	42	3	0	6	2	16700	1
805	07737087	2024-08-09	88	126	1	0	6	1	5100	1
806	07747088	2024-08-09	111	129	3	0			12300	1
807	07757089	2024-08-09	137	133	3	0	6	1	13300	1
808	07761090	2024-08-09	8	2	3	0	7	2	5500	1
809	07771091	2024-08-09	16	7	2	0	2	1	8500	1
810	07781092	2024-08-09	35	20	2	0	1,3,6	1,2,1	9900	1
811	07794093	2024-08-09	39	92	3	0			6300	1
812	07803094	2024-08-09	58	50	1	0	6,7	1,1	8400	1
813	07813095	2024-08-09	66	65	1	0	6	1	8500	1
814	07826096	2024-08-09	72	124	1	0	6,7	1,1	8600	1
815	07833097	2024-08-09	96	56	2	0	6	2	13200	1
816	07846098	2024-08-09	109	121	2	0	7	2	16200	1
817	07854099	2024-08-09	121	90	1	0			2400	1
818	07867100	2024-08-09	123	133	2	0			8200	1
819	07876101	2024-08-09	140	123	2	0	7	2	15600	1
820	07881001	2024-08-10	18	28	1	0	2	1	4500	1
821	07898002	2024-08-10	33	138	3	0			11700	1
822	07907003	2024-08-10	53	126	2	0			8200	1
823	07914004	2024-08-10	69	71	1	0			3200	1
824	07926005	2024-08-10	92	125	1	0	6,7	1,1	8500	1
825	07931006	2024-08-10	101	29	2	0	1	1	8900	1
826	07943007	2024-08-10	103	60	2	0	6	2	13000	1
827	07958008	2024-08-10	105	143	2	0			7800	1
828	07966009	2024-08-10	114	123	2	0	6	1	15600	1
829	07974010	2024-08-10	125	79	2	0			5600	1
830	07986011	2024-08-10	129	123	2	0	6,7	2,2	17600	1
831	07992012	2024-08-10	9	39	1	0	6	1	5500	1
832	08006013	2024-08-10	27	121	3	0	6	2	24800	1
833	08014014	2024-08-10	28	71	2	0			6400	1
834	08028015	2024-08-10	36	145	3	0	6	1	12700	1
835	08035016	2024-08-10	42	105	3	0	1,6,8	2,1,2	19900	1
836	08041017	2024-08-10	96	7	1	0	1	1	4500	1
837	08051018	2024-08-10	102	23	2	0			7200	1
838	08066019	2024-08-10	120	118	2	0	6,7	1,2	16600	1
839	08076020	2024-08-10	126	124	2	0	7	1	14700	1
840	08083021	2024-08-10	128	50	2	0	6,7	2,1	16300	1
841	08094022	2024-08-10	132	76	1	0			3300	1
842	08108023	2024-08-10	140	140	2	0	6	2	9800	1
843	08111024	2024-08-10	7	23	2	0			7200	1
844	08118025	2024-08-10	7	140	2	0	6	1	8800	1
845	08127026	2024-08-10	20	127	2	0	6	2	10200	1
846	08135027	2024-08-10	36	109	3	0	1,6,8	2,2,1	19300	1
847	08142028	2024-08-10	49	40	3	0	6	2	15500	1
848	08154029	2024-08-10	59	90	3	0			7200	1
849	08162030	2024-08-10	70	32	3	0			11700	1
850	08175031	2024-08-10	93	97	1	0	6,8	1,1	7900	1
851	08186032	2024-08-10	112	116	2	0			10400	1
852	08197033	2024-08-10	122	127	2	0	6	1	9200	1
853	08207034	2024-08-10	134	133	3	0			12300	1
854	08211035	2024-08-10	136	25	1	0	3	1	4000	1
855	08224036	2024-08-10	9	73	3	0			10500	1
856	08238037	2024-08-10	10	136	2	0			7800	1
857	08248038	2024-08-10	13	145	1	0			3900	1
858	08251039	2024-08-10	23	23	2	0			7200	1
859	08261040	2024-08-10	24	11	3	0	1,3	2,1	13500	1
860	08278041	2024-08-10	32	139	1	0	6	1	4900	1
861	08282042	2024-08-10	36	43	1	0			3900	1
862	08293043	2024-08-10	38	65	2	0	6	1	16000	1
863	08303044	2024-08-10	39	56	2	0			11200	1
864	08313045	2024-08-10	73	54	3	0	2,8	2,1	22700	1
865	08324046	2024-08-10	79	92	1	0			2100	1
866	08333047	2024-08-10	99	53	2	0	2	1	12300	1
867	08345048	2024-08-10	114	110	2	0	1,8	2,2	16000	1
868	08356049	2024-08-10	119	120	3	0	6,7	1,2	25700	1
869	08364050	2024-08-10	142	89	3	0			8100	1
870	08378051	2024-08-10	146	137	3	0			11700	1
871	08384052	2024-08-10	4	78	2	0			6000	1
872	08394053	2024-08-10	7	93	2	0			4200	1
873	08405054	2024-08-10	24	99	1	0	1,8	1,1	9300	1
874	08411055	2024-08-10	51	10	3	0	7	2	12400	1
875	08424056	2024-08-10	58	76	3	0			9900	1
876	08438057	2024-08-10	64	140	3	0	6	2	13700	1
877	08447058	2024-08-10	80	135	3	0	6	1	13300	1
878	08457059	2024-08-10	146	135	2	0	6	1	9200	1
879	08463060	2024-08-10	20	66	2	0	6	2	17000	1
880	08475061	2024-08-10	31	108	1	0	1,6	1,1	6300	1
881	08483062	2024-08-10	35	55	3	0			17700	1
882	08494063	2024-08-10	50	75	1	0			2700	1
883	08501064	2024-08-10	84	28	3	0			12000	1
884	08518065	2024-08-10	93	142	3	0	6	1	12700	1
885	08522066	2024-08-10	98	43	1	0	6	1	4900	1
886	08535067	2024-08-10	108	107	1	0	6,7	1,1	6000	1
887	08542068	2024-08-10	121	40	1	0	6	1	5500	1
888	08553069	2024-08-10	122	63	3	0	6	2	16700	1
889	08566070	2024-08-10	147	123	3	0	6	2	23900	1
890	08568071	2024-08-10	147	138	1	0	6	1	4900	1
891	08577072	2024-08-10	148	135	3	0			12300	1
892	08584073	2024-08-10	6	90	3	0			7200	1
893	08591074	2024-08-10	14	23	3	0			10800	1
894	08601075	2024-08-10	47	10	1	0			3800	1
895	08614076	2024-08-10	59	83	3	0			6900	1
896	08621077	2024-08-10	60	11	3	0	1,6	2,1	14000	1
897	08627078	2024-08-10	60	128	3	0			12300	1
898	08631079	2024-08-10	84	9	2	0	1,2	2,1	8500	1
899	08646080	2024-08-10	94	121	1	0	7	1	8100	1
900	08658081	2024-08-10	131	142	3	0	6	2	13700	1
901	08661082	2024-08-10	140	4	1	0	1,3	1,1	4000	1
902	08676083	2024-08-10	145	119	2	0	6,7	2,1	18300	1
903	08684084	2024-08-10	23	74	3	0			11100	1
904	08696085	2024-08-10	53	122	2	0	7	2	15600	1
905	08703086	2024-08-10	87	56	3	0	6	2	18800	1
906	08715087	2024-08-10	116	111	1	0	1,6,8	1,1,1	8500	1
907	08726088	2024-08-10	136	122	1	0	6	1	8300	1
908	08738089	2024-08-10	144	141	2	0			7800	1
909	08742001	2024-08-11	17	41	1	0	6	1	5900	1
910	08752002	2024-08-11	92	42	1	0	6	1	5900	1
911	08766003	2024-08-11	98	123	3	0			21900	1
912	08773004	2024-08-11	100	58	2	0	6	1	14800	1
913	08781005	2024-08-11	109	29	1	0	1,3	1,1	5200	1
914	08792006	2024-08-11	129	39	2	0			9000	1
915	08802007	2024-08-11	2	37	2	0	6	2	9800	1
916	08816008	2024-08-11	31	121	1	0	6,7	1,1	9100	1
917	08821009	2024-08-11	32	13	3	0	1,7	1,1	13900	1
918	08833010	2024-08-11	40	46	2	0	6,7	2,2	14800	1
919	08846011	2024-08-11	43	125	3	0	6,7	2,1	23500	1
920	08857012	2024-08-11	68	132	3	0			12300	1
921	08868013	2024-08-11	86	137	1	0			3900	1
922	08877014	2024-08-11	91	128	1	0	6	1	5100	1
923	08885015	2024-08-11	101	103	1	0	1,6	1,1	5700	1
924	08892016	2024-08-11	104	32	3	0	6	1	12700	1
925	08902017	2024-08-11	119	39	2	0			9000	1
926	08916018	2024-08-11	139	118	3	0	6	2	23900	1
927	08923019	2024-08-11	146	65	3	0	6	2	24500	1
928	08934020	2024-08-11	12	84	3	0			6900	1
929	08945021	2024-08-11	18	103	2	0	1,6,8	1,2,2	12900	1
930	08951022	2024-08-11	26	7	1	0	2	1	4500	1
931	08966023	2024-08-11	77	120	3	0	6,7	2,1	26200	1
